TRKJ2-1-05OND-01,私たちは遅刻するかもしれません,,We might be late
TRKJ2-1-05OND-02,これを忘れてはなりません,,You mustn't forget this
TRKJ2-1-05OND-03,お手洗いがどこか教えていただけますか,,Can you tell me where bathroom is
TRKJ2-1-05OND-04,これは本当のはずがない,,This cannot be true
TRKJ2-1-05OND-05,それは一体本当なのですか,,Can it be true?
TRKJ2-1-05OND-06,一体どうしてこんなことが私に起こるのだ,,How can this happen to me?
TRKJ2-1-05OND-07,彼は3か国語を話せる,,He is able to speak three languages
TRKJ2-1-05OND-08,もうじき彼女は歩けるようになるでしょう,,She will be able to walk soon?
TRKJ2-1-05OND-09,今まであなたの質問に答えることができずに済みません,,I'm sorry I haven't been able to answer your question.
TRKJ2-1-05OND-10,これは本当に違いない,,This must be true
TRKJ2-1-05OND-11,君のご両親は君のことを誇りに思っているでしょうね。,,Your parents must be proud of you
TRKJ2-1-05OND-12,彼女にはそれを伝えたので、知っているはずです,,I told her that so she know it
TRKJ2-1-05OND-13,ジムは今日とても遅くまで働かなくてはならない,,Jim has to work until very late today.
TRKJ2-1-05OND-16,どれくらい待たなくてはならないでしょうか？,,How long will I have to wait?
